game_id,play_id,season,week,season_type,qtr,down,ydstogo,game_seconds_remaining,score_differential,posteam,defteam,play_type,desc,is_sack,win_probability_before,win_probability_after,wp_delta_offense,wp,def_wp,home_wp,away_wp,wpa
2020_01_ARI_SF,3361,2020,1,REG,4,1,10,900,-3,ARI,SF,pass,(15:00) 1-K.Murray sacked at ARI 40 for -1 yards (93-D.Jones).,true,0.378636628389359,0.3336738049983983,-0.04496282339096069,0.378636628389359,0.621363371610642,0.621363371610642,0.378636628389359,-0.0449628233909607
2020_01_DAL_LA,3803,2020,1,REG,4,3,10,433,3,LA,DAL,pass,(7:13) (Shotgun) 16-J.Goff sacked at LA 46 for -6 yards (58-A.Smith).,true,0.773819983005524,0.7000114321708683,-0.07380855083465576,0.773819983005524,0.226180016994476,0.773819983005524,0.226180016994476,-0.0738085508346558
2020_01_DAL_LA,4252,2020,1,REG,4,2,6,102,-3,DAL,LA,pass,"(1:42) (No Huddle, Shotgun) 4-D.Prescott sacked at DAL 18 for -7 yards (54-L.Floyd).",true,0.250893890857697,0.19344684481620827,-0.0574470460414887,0.250893890857697,0.749106109142304,0.749106109142304,0.250893890857697,-0.0574470460414887
2020_01_IND_JAX,3695,2020,1,REG,4,3,6,183,4,JAX,IND,pass,(3:03) (Shotgun) 15-G.Minshew sacked at IND 28 for -1 yards (96-D.Autry).,true,0.840237379074097,0.8144929409027103,-0.02574443817138672,0.840237379074097,0.159762620925903,0.840237379074097,0.159762620925903,-0.0257444381713867
2020_01_PHI_WAS,3301,2020,1,REG,4,1,10,855,0,PHI,WAS,pass,(14:15) 11-C.Wentz sacked at PHI 15 for -10 yards (91-R.Kerrigan).,true,0.477880448102951,0.4164721965789794,-0.06140825152397161,0.477880448102951,0.522119551897049,0.522119551897049,0.477880448102951,-0.0614082515239716
2020_01_PHI_WAS,3691,2020,1,REG,4,1,3,417,0,WAS,PHI,pass,(6:57) (Shotgun) 7-D.Haskins sacked at PHI 3 for 0 yards (sack split by 58-G.Avery and 50-D.Riley).,true,0.735853493213654,0.7579742074012761,0.02212071418762207,0.735853493213654,0.264146506786346,0.735853493213654,0.264146506786346,0.0221207141876221
2020_01_TB_NO,3279,2020,1,REG,4,3,4,896,-7,TB,NO,pass,(14:56) (Shotgun) 12-T.Brady sacked at TB 20 for -8 yards (56-D.Davis).,true,0.187156409025192,0.11795514076948141,-0.0692012682557106,0.187156409025192,0.812843590974808,0.812843590974808,0.187156409025192,-0.0692012682557106
2020_02_BUF_MIA,3455,2020,2,REG,4,1,20,540,-3,BUF,MIA,pass,(9:00) (Shotgun) 17-J.Allen sacked at MIA 42 for -4 yards (sack split by 91-E.Ogbah and 43-A.Van Ginkel).,true,0.443811595439911,0.3793979883193971,-0.06441360712051392,0.443811595439911,0.556188404560089,0.556188404560089,0.443811595439911,-0.0644136071205139
2020_02_BUF_MIA,3651,2020,2,REG,4,1,10,351,-4,MIA,BUF,pass,(5:51) 14-R.Fitzpatrick sacked at MIA 21 for -9 yards (21-J.Poyer).,true,0.333533883094788,0.2597048282623295,-0.0738290548324585,0.333533883094788,0.666466116905212,0.333533883094788,0.666466116905212,-0.0738290548324585
2020_02_CAR_TB,3428,2020,2,REG,4,1,10,662,-7,CAR,TB,pass,(11:02) 5-T.Bridgewater sacked at CAR 44 for -7 yards (92-W.Gholston).,true,0.201411783695221,0.1718543022871018,-0.0295574814081192,0.201411783695221,0.798588216304779,0.798588216304779,0.201411783695221,-0.0295574814081192
