season,source_team_id,game_key,date_label,opponent,raw_row,game_id,game_date,away_team,home_team,away_score,home_score,box_score_url
2026,,2026_sportstrack_11872,2026-04-27,The Big Units at Bash Brothers,1 | Monday | 04/27/26 | 6:00 PM | TBD | Bash Brothers | 16 | The Big Units | 15 |  |  | 11872,11872,2026-04-27,The Big Units,Bash Brothers,15,16,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11872
2026,,2026_sportstrack_11873,2026-04-28,Honey Badgers at The Big Papi's,2 | Tuesday | 04/28/26 | 6:00 PM | TBD | The Big Papi's | 9 | Honey Badgers | 7 |  |  | 11873,11873,2026-04-28,Honey Badgers,The Big Papi's,7,9,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11873
2026,,2026_sportstrack_11874,2026-04-30,The Sultans Of Swat at Muscle Hamsters,3 | Thursday | 04/30/26 | 6:00 PM | TBD | Muscle Hamsters | 7 | The Sultans Of Swat | 25 |  |  | 11874,11874,2026-04-30,The Sultans Of Swat,Muscle Hamsters,25,7,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11874
2026,,2026_sportstrack_11875,2026-05-01,The Ryan Express at Wild Things,4 | Friday | 05/01/26 | 6:00 PM | TBD | Wild Things | 9 | The Ryan Express | 10 |  |  | 11875,11875,2026-05-01,The Ryan Express,Wild Things,10,9,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11875
2026,,2026_sportstrack_11877,2026-05-03,7th Floor Crew at Lunch Pail Guys,5 | Sunday | 05/03/26 | 12:00 PM | TBD | Lunch Pail Guys | 18 | 7th Floor Crew | 3 |  |  | 11877,11877,2026-05-03,7th Floor Crew,Lunch Pail Guys,3,18,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11877
2026,,2026_sportstrack_11876,2026-05-03,Nails at Black Mambas,6 | Sunday | 05/03/26 | 3:00 PM | TBD | Black Mambas | 10 | Nails | 5 |  |  | 11876,11876,2026-05-03,Nails,Black Mambas,5,10,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11876
2026,,2026_sportstrack_11879,2026-05-03,The Big Papi's at The Ryan Express,7 | Sunday | 05/03/26 | 4:30 PM | TBD | The Ryan Express | 11 | The Big Papi's | 7 |  |  | 11879,11879,2026-05-03,The Big Papi's,The Ryan Express,7,11,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11879
2026,,2026_sportstrack_11880,2026-05-03,Black Mambas at The Sultans Of Swat,8 | Sunday | 05/03/26 | 6:00 PM | TBD | The Sultans Of Swat | 11 | Black Mambas | 9 |  |  | 11880,11880,2026-05-03,Black Mambas,The Sultans Of Swat,9,11,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11880
2026,,2026_sportstrack_11878,2026-05-04,Bash Brothers at Muscle Hamsters,9 | Monday | 05/04/26 | 6:00 PM | TBD | Muscle Hamsters | 5 | Bash Brothers | 11 |  |  | 11878,11878,2026-05-04,Bash Brothers,Muscle Hamsters,11,5,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11878
2026,,2026_sportstrack_11881,2026-05-05,Wild Things at 7th Floor Crew,10 | Tuesday | 05/05/26 | 6:00 PM | TBD | 7th Floor Crew | 9 | Wild Things | 4 |  |  | 11881,11881,2026-05-05,Wild Things,7th Floor Crew,4,9,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11881
2026,,2026_sportstrack_11882,2026-05-07,Lunch Pail Guys at Nails,11 | Thursday | 05/07/26 | 6:00 PM | TBD | Nails | 14 | Lunch Pail Guys | 22 |  |  | 11882,11882,2026-05-07,Lunch Pail Guys,Nails,22,14,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11882
2026,,2026_sportstrack_11883,2026-05-08,Honey Badgers at The Big Units,12 | Friday | 05/08/26 | 6:00 PM | TBD | The Big Units | 12 | Honey Badgers | 9 |  |  | 11883,11883,2026-05-08,Honey Badgers,The Big Units,9,12,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11883
2026,,2026_sportstrack_11884,2026-05-09,Muscle Hamsters at The Big Units,13 | Saturday | 05/09/26 | 9:00 AM | TBD | The Big Units | 5 | Muscle Hamsters | 13 |  |  | 11884,11884,2026-05-09,Muscle Hamsters,The Big Units,13,5,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11884
2026,,2026_sportstrack_11885,2026-05-09,The Ryan Express at Honey Badgers,14 | Saturday | 05/09/26 | 10:30 AM | TBD | Honey Badgers | 3 | The Ryan Express | 18 |  |  | 11885,11885,2026-05-09,The Ryan Express,Honey Badgers,18,3,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11885
2026,,2026_sportstrack_11886,2026-05-09,Black Mambas at Bash Brothers,15 | Saturday | 05/09/26 | 12:00 PM | TBD | Bash Brothers | 14 | Black Mambas | 5 |  |  | 11886,11886,2026-05-09,Black Mambas,Bash Brothers,5,14,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11886
2026,,2026_sportstrack_11887,2026-05-12,7th Floor Crew at The Big Papi's,16 | Tuesday | 05/12/26 | 6:00 PM | TBD | The Big Papi's | 6 | 7th Floor Crew | 5 |  |  | 11887,11887,2026-05-12,7th Floor Crew,The Big Papi's,5,6,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11887
2026,,2026_sportstrack_11888,2026-05-14,Lunch Pail Guys at The Sultans Of Swat,17 | Thursday | 05/14/26 | 6:00 PM | TBD | The Sultans Of Swat | 10 | Lunch Pail Guys | 23 |  |  | 11888,11888,2026-05-14,Lunch Pail Guys,The Sultans Of Swat,23,10,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11888
2026,,2026_sportstrack_11889,2026-05-15,Nails at Wild Things,18 | Friday | 05/15/26 | 6:30 PM | TBD | Wild Things | 10 | Nails | 7 |  |  | 11889,11889,2026-05-15,Nails,Wild Things,7,10,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11889
2026,,2026_sportstrack_11890,2026-05-16,The Big Units at The Ryan Express,19 | Saturday | 05/16/26 | 9:00 AM | TBD | The Ryan Express | 11 | The Big Units | 8 |  |  | 11890,11890,2026-05-16,The Big Units,The Ryan Express,8,11,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11890
2026,,2026_sportstrack_11893,2026-05-17,Bash Brothers at Lunch Pail Guys,20 | Sunday | 05/17/26 | 4:30 PM | TBD | Lunch Pail Guys | 8 | Bash Brothers | 13 |  |  | 11893,11893,2026-05-17,Bash Brothers,Lunch Pail Guys,13,8,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11893
2026,,2026_sportstrack_11894,2026-05-17,The Big Papi's at Nails,21 | Sunday | 05/17/26 | 6:00 PM | TBD | Nails | 9 | The Big Papi's | 13 |  |  | 11894,11894,2026-05-17,The Big Papi's,Nails,13,9,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11894
2026,,2026_sportstrack_11895,2026-05-19,Wild Things at The Sultans Of Swat,22 | Tuesday | 05/19/26 | 6:30 PM | TBD | The Sultans Of Swat | 29 | Wild Things | 26 |  |  | 11895,11895,2026-05-19,Wild Things,The Sultans Of Swat,26,29,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11895
2026,,2026_sportstrack_11896,2026-05-21,Black Mambas at The Big Units,23 | Thursday | 05/21/26 | 6:30 PM | TBD | The Big Units | 2 | Black Mambas | 19 |  |  | 11896,11896,2026-05-21,Black Mambas,The Big Units,19,2,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11896
2026,,2026_sportstrack_11897,2026-05-22,7th Floor Crew at The Ryan Express,24 | Friday | 05/22/26 | 6:30 PM | TBD | The Ryan Express | 12 | 7th Floor Crew | 11 |  |  | 11897,11897,2026-05-22,7th Floor Crew,The Ryan Express,11,12,https://lvc.sportstrack.app/softball/seasons/302/box-scores/11897
