season,player_name,canonical_player_name,team_name,reason,player_url
2025,sub,SUB,SHAMROCK SHROOMS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_SHAMROCK SHROOMS?player=sub
2025,sub spoto,SUB SPOTO,UNFORTUNATE SONS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_UNFORTUNATE SONS?player=sub_spoto
2025,sub Mal,SUB MAL,DAZED AND CONFUSED,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DAZED AND CONFUSED?player=sub_Mal
2025,Sub spoto,SUB SPOTO,BEASTS OF BURDEN,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS OF BURDEN?player=Sub_spoto
2025,sub auerbach,SUB AUERBACH,DARK SIDE,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DARK SIDE?player=sub_auerbach
2025,sub dave,SUB DAVE,DEAD & CO,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DEAD &amp; CO?player=sub_dave
2025,Sub M,SUB M,GRATEFUL DEAD,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_GRATEFUL DEAD?player=Sub_M
2025,Sub,SUB,DARK SIDE,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DARK SIDE?player=Sub
2025,sub Max,SUB MAX,BEASTS OF BURDEN,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS OF BURDEN?player=sub_Max
2025,Sub M,SUB M,DARK SIDE,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DARK SIDE?player=Sub_M
2025,sub mal,SUB MAL,GRATEFUL DEAD,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_GRATEFUL DEAD?player=sub_mal
2025,Sub Vic,SUB VIC,GRATEFUL DEAD,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_GRATEFUL DEAD?player=Sub_Vic
2025,Sub Spoto,SUB SPOTO,THE ANIMALS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_THE ANIMALS?player=Sub_Spoto
2025,Sub,SUB,THE TRIPPERS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_THE TRIPPERS?player=Sub
2025,sub Rick Beyey,SUB RICK BEYEY,BEASTS OF BURDEN,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS OF BURDEN?player=sub_Rick_Beyey
2025,Sub Joey beyer,SUB JOEY BEYER,BEASTS OF BURDEN,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS OF BURDEN?player=Sub_Joey_beyer
2025,sub smith,SUB SMITH,DARK SIDE,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DARK SIDE?player=sub_smith
2025,sub Auerbach,SUB AUERBACH,DAZED AND CONFUSED,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DAZED AND CONFUSED?player=sub_Auerbach
2025,sub G Auerbach,SUB G AUERBACH,DAZED AND CONFUSED,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DAZED AND CONFUSED?player=sub_G_Auerbach
2025,sub O'Brien,SUB O BRIEN,RIDERS ON THE STORM,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_RIDERS ON THE STORM?player=sub_O'Brien
2025,sub Joey Beyer,SUB JOEY BEYER,WHARF RATS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF RATS?player=sub_Joey_Beyer
2025,Sub Spoto,SUB SPOTO,WHARF RATS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF RATS?player=Sub_Spoto
2025,Sub MA,SUB MA,DARK SIDE,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DARK SIDE?player=Sub_MA
2025,Sub Sp,SUB SP,DARK SIDE,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DARK SIDE?player=Sub_Sp
2025,Sub,SUB,GRATEFUL DEAD,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_GRATEFUL DEAD?player=Sub
2025,SUB ROZELL,SUB ROZELL,DARK SIDE,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DARK SIDE?player=SUB_ROZELL
2025,Sub K,SUB K,DARK SIDE,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DARK SIDE?player=Sub_K
2025,sub Quinn,SUB QUINN,DEAD & CO,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DEAD &amp; CO?player=sub_Quinn
2025,sub 2,SUB 2,DEAD & CO,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_DEAD &amp; CO?player=sub_2
2025,sub chris,SUB CHRIS,SHAMROCK SHROOMS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_SHAMROCK SHROOMS?player=sub_chris
2025,Sub,SUB,THE ANIMALS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_THE ANIMALS?player=Sub
2025,Sub Beyer,SUB BEYER,THE TRIPPERS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_THE TRIPPERS?player=Sub_Beyer
2025,Sub Mark,SUB MARK,THE TRIPPERS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_THE TRIPPERS?player=Sub_Mark
2025,Sub Max,SUB MAX,UNFORTUNATE SONS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_UNFORTUNATE SONS?player=Sub_Max
2025,sub Ricky Beyer,SUB RICKY BEYER,WHARF RATS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF RATS?player=sub_Ricky_Beyer
2025,Sub Auerbach,SUB AUERBACH,WHARF RATS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_WHARF RATS?player=Sub_Auerbach
2024,Sub Spoto,SUB SPOTO,PIPER'S PIT,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_PIPER'S PIT?player=Sub_Spoto
2024,sub mal,SUB MAL,ROAD WARRIORS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_ROAD WARRIORS?player=sub_mal
2024,sub aauerbaac,SUB AAUERBAAC,ROAD WARRIORS,manual_review_needed,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2024_ROAD WARRIORS?player=sub_aauerbaac
