team,team_id,roster_size,active_players,matched_players,unmatched_players,projected_runs,offense_index,offense_rating,defense_rating,overall_rating
The Sultans of Swat,the_sultans_of_swat,15,15,15,0,16.8112,0.5465064649094288,0.6406001516304357,0,0.6406001516304357
Black Mambas,black_mambas,15,15,15,0,14.2586,0.5598098381207242,0.4759150541264698,0,0.4759150541264698
Muscle Hamsters,muscle_hamsters,15,15,15,0,13.2439,0.5365520506456269,0.40209188974561005,0,0.40209188974561005
Lunch Pail Guys,lunch_pail_guys,15,15,15,0,13.0951,0.5452293292731891,0.3907929351110612,0,0.3907929351110612
Wild Things,wild_things,15,15,15,0,13.0604,0.5520769002919604,0.3881395719286863,0,0.3881395719286863
The Ryan Express,the_ryan_express,16,16,15,1,12.8185,0.5463633053793819,0.3694442606448173,0,0.3694442606448173
Bash Brothers,bash_brothers,16,16,16,0,12.7218,0.553017121389778,0.36187187801248494,0,0.36187187801248494
7th Floor Crew,7th_floor_crew,15,15,15,0,10.6575,0.5373597889209274,0.18481869033529036,0,0.18481869033529036
The Big Units,the_big_units,15,15,15,0,10.4989,0.5275135867845824,0.16982531044886626,0,0.16982531044886626
The Big Papi's,the_big_papi_s,15,15,15,0,9.5389,0.5343151301963509,0.07393299550701338,0,0.07393299550701338
Nails,nails,15,15,15,0,9.5016,0.5188922644241659,0.07001502615595548,0,0.07001502615595548
Honey Badgers,honey_badgers,15,15,15,0,9.347,0.5173688977406042,0.05361025687850836,0,0.05361025687850836
