game_id,play_id,season,week,season_type,qtr,down,ydstogo,game_seconds_remaining,score_differential,posteam,defteam,play_type,desc,is_sack,win_probability_before,win_probability_after,wp_delta_offense,wp,def_wp,home_wp,away_wp,wpa
2022_01_DEN_SEA,2965,2022,1,REG,4,2,8,832,4,SEA,DEN,pass,"(13:52) 7-G.Smith sacked at SEA 36 for -8 yards (55-B.Chubb). FUMBLES (55-B.Chubb) [55-B.Chubb], recovered by SEA-67-C.Cross at SEA 36. 67-C.Cross to SEA 36 for no gain (55-B.Chubb).",true,0.777876079082489,0.732219934463501,-0.04565614461898804,0.777876079082489,0.222123920917511,0.777876079082489,0.222123920917511,-0.045656144618988
2022_01_DEN_SEA,3515,2022,1,REG,4,3,6,294,1,SEA,DEN,pass,(4:54) (Shotgun) 7-G.Smith sacked at SEA 24 for -10 yards (55-B.Chubb).,true,0.706383049488068,0.610342085361481,-0.09604096412658691,0.706383049488068,0.293616950511932,0.706383049488068,0.293616950511932,-0.0960409641265869
2022_01_JAX_WAS,3622,2022,1,REG,4,,0,576,-2,WAS,JAX,pass,"(Pass formation) TWO-POINT CONVERSION ATTEMPT. 11-C.Wentz is sacked. ATTEMPT FAILS. Penalty on WAS-68-A.Norwell, Illegal Use of Hands, declined.",true,0.431435675784946,0.35134285688400313,-0.08009281890094289,0.431435675784946,0.568564324215054,0.431435675784946,0.568564324215054,-0.0800928189009429
2022_01_JAX_WAS,3797,2022,1,REG,4,3,4,447,2,JAX,WAS,pass,(7:27) (Shotgun) 16-T.Lawrence sacked at WAS 48 for -6 yards (94-D.Payne).,true,0.745984494686127,0.6645971536636356,-0.08138734102249146,0.745984494686127,0.254015505313873,0.254015505313873,0.745984494686127,-0.0813873410224915
2022_01_LV_LAC,3479,2022,1,REG,4,3,3,160,-5,LV,LAC,pass,"(2:40) (Shotgun) 4-D.Carr sacked at LV 37 for -3 yards (sack split by 97-J.Bosa and 56-M.Fox). FUMBLES (97-J.Bosa) [97-J.Bosa], recovered by LV-76-J.Simpson at LV 35.",true,0.205380901694298,0.12957447767257713,-0.07580642402172089,0.205380901694298,0.794619098305702,0.794619098305702,0.205380901694298,-0.0758064240217209
2022_01_LV_LAC,3525,2022,1,REG,4,4,8,120,-5,LV,LAC,pass,"(2:00) (Shotgun) 4-D.Carr sacked at LV 28 for -7 yards (52-K.Mack). FUMBLES (52-K.Mack) [52-K.Mack], recovered by LV-74-K.Miller at LV 28.",true,0.129574477672577,0.03946286439895638,-0.0901116132736206,0.129574477672577,0.870425522327423,0.870425522327423,0.129574477672577,-0.0901116132736206
2022_01_PIT_CIN,2651,2022,1,REG,4,2,7,900,-3,CIN,PIT,pass,(15:00) (Shotgun) 9-J.Burrow sacked at CIN 5 for -7 yards (56-A.Highsmith).,true,0.398726224899292,0.3190295100212097,-0.07969671487808228,0.398726224899292,0.601273775100708,0.398726224899292,0.601273775100708,-0.0796967148780823
2022_01_PIT_CIN,3324,2022,1,REG,4,3,11,228,-6,CIN,PIT,no_play,"(3:48) (Shotgun) 9-J.Burrow sacked at PIT 40 for -10 yards (90-T.Watt). PENALTY on PIT-20-C.Sutton, Defensive Holding, 6 yards, enforced at PIT 30 - No Play.",true,0.228483766317368,0.386018425226212,0.157534658908844,0.228483766317368,0.771516233682632,0.228483766317368,0.771516233682632,0.157534658908844
2022_02_ARI_LV,3719,2022,2,REG,4,1,10,140,-8,ARI,LV,no_play,"(2:20) (Shotgun) 1-K.Murray sacked at LV 47 for -6 yards (98-M.Crosby). PENALTY on LV-26-R.Ya-Sin, Defensive Holding, 5 yards, enforced at LV 41 - No Play.",true,0.102083310484886,0.10802318900823576,0.005939878523349762,0.102083310484886,0.897916689515114,0.897916689515114,0.102083310484886,0.00593987852334976
2022_02_ATL_LA,3645,2022,2,REG,4,1,10,6,-4,ATL,LA,pass,"(:06) (Shotgun) 1-M.Mariota sacked at ATL 40 for -10 yards (58-J.Hollins). FUMBLES (58-J.Hollins) [58-J.Hollins], RECOVERED by LA-99-A.Donald at ATL 39.",true,0.136497899889946,0,-0.136497899889946,0.136497899889946,0.863502100110054,0.863502100110054,0.136497899889946,-0.136497899889946
