Team,Player,Hits,H2L,H2L %,H2C,H2C %,H2R,H2R %,URL
BEASTS OF BURDEN,00 sub,0,2,0.0,3,0.0,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS%20OF%20BURDEN?player=00_sub&report=batting
BEASTS OF BURDEN,Alexander Sweetwood,8,26,325.0,35,437.5,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS%20OF%20BURDEN?player=Alexander_Sweetwood&report=batting
BEASTS OF BURDEN,Barry Davis,3,8,266.7,2,66.7,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS%20OF%20BURDEN?player=Barry_Davis&report=batting
BEASTS OF BURDEN,Bret Hartman,10,21,210.0,19,190.0,2,20.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS%20OF%20BURDEN?player=Bret_Hartman&report=batting
BEASTS OF BURDEN,Chris Stappas,10,13,130.0,19,190.0,1,10.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS%20OF%20BURDEN?player=Chris_Stappas&report=batting
BEASTS OF BURDEN,Greg Kohn,6,12,200.0,24,400.0,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS%20OF%20BURDEN?player=Greg_Kohn&report=batting
BEASTS OF BURDEN,Jared Bruno,8,26,325.0,16,200.0,1,12.5,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS%20OF%20BURDEN?player=Jared_Bruno&report=batting
BEASTS OF BURDEN,Jason Davis,2,4,200.0,11,550.0,1,50.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS%20OF%20BURDEN?player=Jason_Davis&report=batting
BEASTS OF BURDEN,Jason Dickert,1,3,300.0,5,500.0,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS%20OF%20BURDEN?player=Jason_Dickert&report=batting
BEASTS OF BURDEN,Jason Rhodes,6,2,33.3,15,250.0,4,66.7,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS%20OF%20BURDEN?player=Jason_Rhodes&report=batting
BEASTS OF BURDEN,Jim Gesualdo,1,4,400.0,7,700.0,0,0.0,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS%20OF%20BURDEN?player=Jim_Gesualdo&report=batting
BEASTS OF BURDEN,Nick Adams,8,22,275.0,16,200.0,1,12.5,https://www.turbostatsevents.com/site/2/stats/softball/lvc/valhalla2025_BEASTS%20OF%20BURDEN?player=Nick_Adams&report=batting
